"","age","qxM","exM","qxZ","exZ"
"1",0,0.002957,75.82,0.001928,81.45
"2",1,0.000231,75.05,0.000206,80.6
"3",2,0.000143,74.07,0.000131,79.62
"4",3,8.9e-05,73.08,5.6e-05,78.63
"5",4,8.3e-05,72.08,8.4e-05,77.64
"6",5,7.6e-05,71.09,7.8e-05,76.64
"7",6,8.7e-05,70.09,9.5e-05,75.65
"8",7,8.6e-05,69.1,8.7e-05,74.66
"9",8,1e-04,68.11,1e-04,73.66
"10",9,8.7e-05,67.11,0.000108,72.67
"11",10,6.8e-05,66.12,9.7e-05,71.68
"12",11,8e-05,65.12,7.9e-05,70.68
"13",12,0.000117,64.13,0.000102,69.69
"14",13,0.000114,63.14,0.000119,68.7
"15",14,0.000108,62.14,0.000145,67.7
"16",15,0.000114,61.15,0.000167,66.71
"17",16,0.000213,60.16,0.000165,65.73
"18",17,0.000374,59.17,0.000181,64.74
"19",18,0.000522,58.19,0.000182,63.75
"20",19,0.000637,57.22,0.000231,62.76
"21",20,0.000721,56.26,0.000261,61.77
"22",21,0.000699,55.3,0.000263,60.79
"23",22,0.000699,54.34,0.000258,59.81
"24",23,0.00071,53.37,0.000253,58.82
"25",24,0.000739,52.41,0.00019,57.84
"26",25,0.000805,51.45,0.000219,56.85
"27",26,0.000816,50.49,0.000232,55.86
"28",27,0.000772,49.53,0.000266,54.87
"29",28,0.00072,48.57,0.000293,53.89
"30",29,0.000733,47.6,0.000265,52.9
"31",30,0.000786,46.64,0.000243,51.92
"32",31,0.000858,45.67,0.000254,50.93
"33",32,0.000836,44.71,0.000291,49.94
"34",33,0.000969,43.75,0.000353,48.96
"35",34,0.001059,42.79,0.000415,47.97
"36",35,0.001142,41.84,0.000466,46.99
"37",36,0.001207,40.88,0.000527,46.01
"38",37,0.001221,39.93,0.000547,45.04
"39",38,0.001228,38.98,0.00064,44.06
"40",39,0.001371,38.03,0.000726,43.09
"41",40,0.001473,37.08,0.000786,42.12
"42",41,0.001682,36.13,0.000843,41.15
"43",42,0.001894,35.19,0.000883,40.19
"44",43,0.002049,34.26,0.000919,39.22
"45",44,0.002318,33.33,0.001065,38.26
"46",45,0.002597,32.41,0.001219,37.3
"47",46,0.002933,31.49,0.001334,36.34
"48",47,0.003302,30.58,0.001546,35.39
"49",48,0.003749,29.68,0.001756,34.45
"50",49,0.004007,28.79,0.002022,33.51
"51",50,0.004314,27.9,0.002189,32.57
"52",51,0.004876,27.02,0.002323,31.64
"53",52,0.005395,26.15,0.002515,30.72
"54",53,0.006029,25.29,0.002875,29.79
"55",54,0.006691,24.44,0.003164,28.88
"56",55,0.007309,23.6,0.003494,27.97
"57",56,0.008076,22.77,0.003799,27.06
"58",57,0.009007,21.95,0.004094,26.16
"59",58,0.009963,21.15,0.004577,25.27
"60",59,0.011331,20.36,0.005123,24.38
"61",60,0.012539,19.58,0.005575,23.51
"62",61,0.014168,18.83,0.006159,22.64
"63",62,0.0162,18.09,0.006925,21.77
"64",63,0.018036,17.38,0.007747,20.92
"65",64,0.019529,16.69,0.008673,20.08
"66",65,0.021173,16.01,0.009537,19.25
"67",66,0.022906,15.35,0.010515,18.43
"68",67,0.024231,14.7,0.011538,17.62
"69",68,0.026519,14.05,0.012801,16.82
"70",69,0.029471,13.42,0.014469,16.03
"71",70,0.032111,12.81,0.016192,15.26
"72",71,0.034703,12.22,0.017792,14.5
"73",72,0.038326,11.64,0.019301,13.76
"74",73,0.041122,11.08,0.020507,13.02
"75",74,0.043376,10.54,0.022628,12.28
"76",75,0.047163,9.99,0.02597,11.55
"77",76,0.050972,9.46,0.029208,10.85
"78",77,0.055213,8.94,0.033516,10.16
"79",78,0.060635,8.44,0.038328,9.5
"80",79,0.067379,7.95,0.044297,8.85
"81",80,0.074021,7.49,0.050695,8.24
"82",81,0.082147,7.05,0.058053,7.65
"83",82,0.090273,6.63,0.065862,7.1
"84",83,0.098778,6.24,0.074735,6.56
"85",84,0.107239,5.87,0.084797,6.05
"86",85,0.116298,5.51,0.09618,5.56
"87",86,0.125291,5.17,0.109333,5.1
"88",87,0.136362,4.84,0.12422,4.67
"89",88,0.14834,4.53,0.141029,4.26
"90",89,0.161282,4.23,0.159958,3.88
"91",90,0.175246,3.95,0.181206,3.52
"92",91,0.19029,3.68,0.204973,3.19
"93",92,0.206469,3.43,0.231449,2.88
"94",93,0.223836,3.19,0.260803,2.6
"95",94,0.242442,2.96,0.29317,2.34
"96",95,0.262329,2.75,0.328637,2.1
"97",96,0.283535,2.55,0.367223,1.89
"98",97,0.306085,2.36,0.408855,1.69
"99",98,0.329995,2.19,0.453348,1.52
"100",99,0.355264,2.02,0.500383,1.36
"101",100,0.381876,1.85,0.549482,1.22
"102",101,0.409794,1.68,0.600002,1.09
"103",102,0.438956,1.51,0.651128,0.98
"104",103,0.469277,1.3,0.701887,0.87
"105",104,0.500641,1,0.751191,0.75
"106",105,1,0.5,1,0.5
